,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
147,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",uniform,3,0.262
148,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",uniform,4,0.018
149,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",increasing,1,1.0
150,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",increasing,2,0.968
151,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",increasing,3,0.158
152,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",increasing,4,0.02
153,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",decreasing,1,1.0
154,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",decreasing,2,0.996
155,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",decreasing,3,0.356
156,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",decreasing,4,0.014
157,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",centred,1,1.0
158,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",centred,2,0.976
159,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",centred,3,0.21
160,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",centred,4,0.02
161,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",ost,1,0.64
162,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",ost,2,0.084
163,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",ost,3,0.074
164,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",ost,4,0.046
165,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",uniform,1,1.0
166,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",uniform,2,0.452
167,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",uniform,3,0.0
168,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",increasing,1,1.0
169,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",increasing,2,0.566
170,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",increasing,3,0.0
171,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",decreasing,1,1.0
